"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"P6","HDR1X8","52.9844mm","59.5378mm","44.0944mm","59.5378mm","44.0944mm","59.5378mm","T","360.00","Header 8"
"P5","HDR1X8","28.9814mm","59.5378mm","20.0914mm","59.5378mm","20.0914mm","59.5378mm","T","360.00","Header 8"
"P4","HDR1X8","52.9844mm","31.75mm","44.0944mm","31.75mm","44.0944mm","31.75mm","T","360.00","Header 8"
"P3","HDR1X8","28.9814mm","31.75mm","20.0914mm","31.75mm","20.0914mm","31.75mm","T","360.00","Header 8"
"S1","SWITCH_SMD_4x3_DHT-1185","43.2562mm","38.6336mm","43.2562mm","38.6336mm","41.3062mm","38.6336mm","T","360.00","SW-PB"
"RST","SWITCH_SMD_4x3_DHT-1185","54.5084mm","37.9224mm","54.5084mm","37.9224mm","56.4584mm","37.9224mm","T","180.00","SW-PB"
"R15","R0603-M","46.8122mm","43.1294mm","46.8122mm","43.1294mm","47.5872mm","43.1294mm","T","180.00","Resistors SMD"
"D3","0603","46.9138mm","41.6816mm","46.9138mm","41.6816mm","46.0638mm","41.6816mm","T","0.00","LED"
"L3","INDC1005X04L","55.9308mm","51.7654mm","55.9308mm","51.7654mm","56.4058mm","51.7654mm","T","180.00","15nH"
"U1","QFN40P600X600X90-48N","55.8798mm","44.0947mm","55.88mm","44.0946mm","54.9428mm","48.1431mm","T","315.00","nRF52832-QFAA"
"C15","C0603","13.9446mm","41.199mm","13.9446mm","41.199mm","13.9446mm","40.449mm","T","90.00","Cap Semi"
"C16","C0603","25.527mm","50.8002mm","25.527mm","50.8002mm","26.277mm","50.8002mm","T","180.00","Cap Semi"
"C17","C0603","31.7754mm","37.8716mm","31.7754mm","37.8716mm","32.5254mm","37.8716mm","T","180.00","Cap Semi"
"C18","C0603","31.7754mm","53.518mm","31.7754mm","53.518mm","32.5254mm","53.518mm","T","180.00","Cap Semi"
"C19","C0603","27.432mm","46.4568mm","27.432mm","46.4568mm","27.432mm","47.2068mm","T","270.00","Cap Semi"
"C20","C0603","9.398mm","42.215mm","9.398mm","42.215mm","10.148mm","42.215mm","T","180.00","Cap Semi"
"C21","C0603","9.398mm","43.6882mm","9.398mm","43.6882mm","8.648mm","43.6882mm","T","360.00","Cap Semi"
"C22","C0603","24.9174mm","38.2526mm","24.9174mm","38.2526mm","24.1674mm","38.2526mm","T","360.00","Cap Semi"
"C23","C0603","16.764mm","53.8228mm","16.764mm","53.8228mm","17.514mm","53.8228mm","T","180.00","Cap Semi"
